scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-07-28 15:53,62.6,SPY,call,2026-08-21,23,786.0,742.11,0.18,0.025,1.0,0.11,0.131,3080,2725,1.13,0.054
2026-07-28 15:53,62.2,SPY,call,2026-08-21,23,780.0,742.11,0.35,0.045,0.93,0.109,0.131,2966,24988,0.12,0.028
2026-07-28 15:53,62.0,SPY,call,2026-08-21,23,778.0,742.11,0.47,0.057,0.89,0.111,0.131,4154,5328,0.78,0.021
2026-07-28 15:53,61.9,SPY,call,2026-08-14,16,775.0,742.11,0.26,0.035,1.02,0.108,0.131,1901,2443,0.78,0.039
2026-07-28 15:53,61.4,SPY,call,2026-08-05,7,758.0,742.11,0.74,0.098,0.97,0.113,0.131,2024,332,6.1,0.013
2026-07-28 15:53,61.2,SPY,call,2026-08-21,23,772.0,742.11,0.95,0.101,0.79,0.113,0.131,5362,3995,1.34,0.01
2026-07-28 15:53,61.1,SPY,call,2026-08-21,23,775.0,742.11,0.67,0.076,0.85,0.112,0.131,3509,33665,0.1,0.03
2026-07-28 15:53,61.0,SPY,call,2026-08-05,7,767.0,742.11,0.08,0.012,1.05,0.103,0.131,1464,1150,1.27,0.118
2026-07-28 15:53,60.1,SPY,call,2026-08-05,7,757.0,742.11,0.91,0.117,0.96,0.115,0.131,2061,523,3.94,0.022
2026-07-28 15:53,60.1,SPY,call,2026-08-21,23,770.0,742.11,1.22,0.123,0.75,0.115,0.131,5884,22069,0.27,0.016
2026-07-28 15:53,60.0,SPY,call,2026-09-04,37,791.0,742.11,0.56,0.057,0.76,0.116,0.131,538,10,53.8,0.018
2026-07-28 15:53,59.5,SPY,call,2026-08-31,33,780.0,742.11,0.95,0.094,0.73,0.114,0.131,4004,21255,0.19,0.021
2026-07-28 15:53,59.1,SPY,call,2026-08-21,23,785.0,742.11,0.21,0.028,0.97,0.111,0.131,874,5452,0.16,0.047
2026-07-28 15:53,58.8,SPY,call,2026-08-21,23,781.0,742.11,0.33,0.042,0.94,0.11,0.131,1039,2095,0.5,0.061
2026-07-28 15:53,58.8,SPY,call,2026-08-14,16,779.0,742.11,0.15,0.021,1.06,0.108,0.131,489,1483,0.33,0.069
